char,total_strokes,radical,meaning,category,components,all_radicals
蜓,12,142.7,dragonfly,Both,"('虫', '廷')","['廴', '虫', '士']"
蛸,13,142.7,long legged spider; octopus; chrysalis of mantis,Both,"('虫', '肖')","['月', '虫', '小']"
蟛,18,142.12,a land-crab,Both,"('虫', '彭')","['十', '虫', '彡', '豆']"
蝕,14,142.9,nibble away; erode; eclipse,Traditional,"('食', '虫')","['人', '丶', '虫', '丨', '彐', '乙']"
蜑,12,142.7,egg,Both,"('延', '虫')","['止', '廴', '虫']"
蜮,14,142.8,a fabulous creature like a turtle; a toad,Both,"('虫', '或')","['一', '戈', '虫', '口']"
蝿,15,142.9,flies,Unknown,"('虫', '𤰶')","['虫', '丨', '田', '日', '乙']"
蝙,15,142.9,bat,Both,"('虫', '扁')","['户', '虫', '艸', '冂']"
蠖,19,142.14,inch-worm; looper caterpillar,Both,"('虫', '蒦')","['隹', '又', '虫', '艸']"
蚃,9,142.3,"larvae, grubs",Simplified,"('乡', '虫')","['丿', '虫']"
蟜,18,142.12,insect,Traditional,"('虫', '喬')","['冂', '大', '虫', '口']"
蚑,10,142.4,tip-toe,Both,"('虫', '支')","['支', '虫']"
蝍,13,142.9,a centipede,Both,"('虫', '即')","['丶', '虫', '丨', '彐', '卩', '乙']"
蟾,19,142.13,toad,Both,"('虫', '詹')","['八', '虫', '刀', '厂', '言']"
蟟,18,142.12,a kind of cicada,Both,"('虫', '尞')","['虫', '八', '大', '小', '日']"
蠃,19,142.13,the solitary wasp,Both,"('𣎆', '虫')","['丶', '虫', '匸', '月', '几', '口']"
蛄,11,142.5,mole cricket,Both,"('虫', '古')","['十', '虫', '口']"
螙,16,142.10,"grubs in wood, worms in books, clothes, etc. used figuratively of corrupt officials",Both,"('木', '䖵')","['虫', '木']"
螎,16,142.10,"to blend, combine",Both,"('虫', '鬲')","['虫', '鬲']"
蟋,17,142.11,cricket,Both,"('虫', '悉')","['心', '虫', '釆']"
蝴,15,142.9,butterfly,Both,"('虫', '胡')","['月', '十', '虫', '口']"
蟚,18,142.12,a small land crab,Both,"('彭', '虫')","['十', '虫', '豆', '彡']"
蛳,12,142.6,kind of snail with spiral shell,Simplified,"('虫', '师')","['一', '虫', '巾']"
蝇,14,142.8,flies,Simplified,"('虫', '黾')","['黾', '虫']"
蝣,15,142.9,"Ephemera strigata, mayfly",Both,"('虫', '斿')","['丿', '子', '虫', '方', '一']"
蠁,17,142.12,"larvae, grubs",Traditional,"('鄉', '虫')","['丿', '丶', '虫', '丨', '彐', '阝', '乙']"
虺,9,142.3,large poisonous snake,Both,"('兀', '虫')","['一', '虫', '儿']"
蝰,15,142.9,"Daboia siamensis, eastern Russell's viper",Both,"('虫', '奎')","['土', '大', '虫']"
螳,17,142.11,mantis,Both,"('虫', '堂')","['土', '虫', '冖', '小', '口']"
蟯,18,142.12,"Enterobius vermicularis, pinworm",Traditional,"('虫', '堯')","['土', '一', '虫', '儿']"
蚋,10,142.4,"gnat, mosquito",Both,"('虫', '內')","['人', '虫', '冂']"
螿,17,142.11,kind of cicada,Traditional,"('將', '虫')","['月', '爿', '虫', '寸']"
蝮,15,142.9,"venomous snake, viper",Both,"('虫', '复')","['丿', '虫', '夂', '日', '一']"
虬,7,142.1,young dragon,Both,"('虫', '乚')","['虫', '乙']"
蝦,15,142.9,"shrimp, prawn",Traditional,"('虫', '叚')","['又', '二', '尸', '虫']"
蟁,17,142.11,"a mosquito, a gnat",Both,"('民', '䖵')","['一', '己', '虫']"
蜉,13,142.7,mayfly,Both,"('虫', '孚')","['子', '虫', '爪']"
蛌,11,142.5,cricket,Both,"('虫', '瓜')","['虫', '瓜']"
蝋,14,142.8,"wax; candle; waxy, glazed",Unknown,"('虫', '鼡')","['二', '虫', '丨', '小', '几']"
蟺,19,142.13,earthworm,Both,"('虫', '亶')","['虫', '囗', '亠', '日', '一']"
蠎,17,142.12,"python, boa constrictor",Unknown,"('虫', '莾')","['十', '大', '虫', '艸']"
蝽,15,142.9,bedbug,Both,"('虫', '春')","['二', '虫', '八', '丨', '日', '一']"
虻,9,142.3,"horsefly, gadfly",Both,"('虫', '亡')","['丶', '匸', '虫']"
蜅,13,142.7,crab,Both,"('虫', '甫')","['十', '丶', '虫', '用']"
蟀,17,142.11,cricket,Both,"('虫', '率')","['幺', '虫', '十', '亠', '冫']"
螭,16,142.11,a dragon whose horns have not grown; cruel,Both,"('虫', '离')","['丿', '凵', '禸', '虫', '亠']"
蚀,9,142.3,nibble away; erode; eclipse,Simplified,"('饣', '虫')","['虫', '饣']"
蝻,15,142.9,immature locusts,Unknown,"('虫', '南')","['虫', '八', '干', '十', '冂']"
蛰,12,142.6,to hibernate,Both,"('执', '虫')","['丿', '丶', '虫', '手']"
蛐,12,142.6,cricket; worm,Unknown,"('虫', '曲')","['二', '凵', '虫']"
蜒,12,142.7,millipede,Both,"('虫', '延')","['止', '廴', '虫']"
蚨,10,142.4,water-beetle; cash,Both,"('虫', '夫')","['人', '虫', '二']"
蛛,12,142.6,spider,Both,"('虫', '朱')","['一', '虫', '木']"
蛁,11,142.5,a species of Pomponia (cidada),Both,"('虫', '召')","['刀', '虫', '口']"
蛱,12,142.6,kind of butterfly,Simplified,"('虫', '夹')","['人', '虫', '八', '二']"
蝡,15,142.9,"genus Eumenes, potter's wasps",Both,"('虫', '耎')","['而', '大', '虫']"
蟫,18,142.12,silverfish,Both,"('虫', '覃')","['日', '十', '虫', '襾']"
