char,decomposition
渇,"['日', '勹', '匕', '水']"
氷,"['丶', '水']"
汙,"['干', '水', '亅']"
潚,"['一', '聿', '水']"
治,"['厶', '水', '口']"
滴,"['子', '八', '水', '亠', '欠']"
濵,"['宀', '貝', '丨', '水']"
滷,"['鹵', '水']"
漷,"['子', '水', '亠', '阝', '口']"
氶,"['水', '乙']"
澑,"['一', '田', '水']"
濬,"['人', '八', '水', '卜', '冖', '目', '一']"
濩,"['艸', '隹', '又', '水']"
浔,"['水', '寸', '彐']"
洸,"['一', '水', '小', '儿']"
洙,"['一', '木', '水']"
淡,"['火', '水']"
泔,"['甘', '水']"
溪,"['幺', '大', '水', '爪']"
沭,"['丶', '木', '水']"
濞,"['水', '鼻']"
沖,"['丨', '水', '口']"
潮,"['日', '十', '月', '水']"
淪,"['人', '水', '一', '艸', '冂']"
淚,"['户', '水', '犬']"
瀉,"['火', '水', '勹', '宀', '臼']"
洲,"['川', '水', '丶']"
淅,"['斤', '木', '水']"
湩,"['十', '里', '水']"
淆,"['月', '丿', '水', '一']"
淇,"['一', '甘', '八', '水']"
瀚,"['人', '水', '羽', '十', '日']"
溶,"['宀', '水', '谷']"
港,"['八', '水', '一', '己', '艸']"
漑,"['无', '匕', '白', '水']"
漯,"['水', '田', '糸']"
溽,"['水', '辰', '寸']"
瀧,"['龍', '水']"
渦,"['口', '水', '冂']"
濙,"['冖', '火', '水']"
泛,"['丶', '戈', '玉', '水']"
润,"['门', '玉', '水']"
泱,"['大', '水', '冂']"
涞,"['一', '八', '木', '水']"
溼,"['土', '一', '水', '幺']"
涿,"['勹', '一', '丶', '水']"
漂,"['襾', '水', '示']"
濟,"['齊', '水']"
清,"['青', '水']"
湘,"['目', '木', '水']"
湖,"['月', '十', '水', '口']"
涟,"['车', '水', '辵']"
瀨,"['水', '刀', '木', '貝', '口']"
泗,"['囗', '水', '儿']"
泪,"['目', '水']"
漬,"['土', '貝', '水', '一']"
汉,"['又', '水']"
洣,"['水', '米']"
灄,"['水', '耳']"
滌,"['人', '水', '夂', '丨', '十', '小']"
澼,"['水', '尸', '辛', '口']"
潿,"['囗', '水', '韋']"
泙,"['干', '八', '水']"
泖,"['水', '卩']"
浬,"['里', '水']"
澂,"['水', '山', '一', '玉', '攴']"
汜,"['己', '水']"
滬,"['户', '水', '邑']"
沆,"['亠', '几', '水']"
溳,"['貝', '水', '口']"
泃,"['勹', '水', '口']"
淬,"['十', '亠', '水', '人']"
沄,"['二', '水', '厶']"
漢,"['二', '人', '水', '丨', '廾', '口']"
濂,"['八', '水', '广', '彐', '一']"
沚,"['止', '水']"
淩,"['土', '八', '水', '夂']"
澇,"['冖', '火', '水', '力']"
滥,"['丿', '丶', '水', '丨', '皿', '一']"
滃,"['厶', '羽', '八', '水']"
泂,"['口', '水', '冂']"
潟,"['臼', '火', '勹', '水']"
湄,"['目', '丨', '水']"
瀼,"['二', '水', '衣', '一', '口']"
瀬,"['頁', '木', '水', '口']"
淋,"['木', '水']"
溴,"['自', '水', '犬']"
涒,"['丨', '水', '口', '彐']"
瀡,"['丿', '水', '阝', '工', '月', '一', '辵']"
澶,"['水', '囗', '亠', '日', '一']"
澮,"['人', '八', '水', '丨', '日', '一', '口']"
澴,"['一', '网', '水', '口']"
氿,"['丿', '水']"
渴,"['勹', '人', '曰', '水']"
溇,"['女', '水', '米']"
湃,"['二', '水', '手', '丨', '一']"
淹,"['水', '丨', '大', '日', '乙']"
灑,"['一', '鹿', '水']"
溷,"['囗', '豕', '水']"
渭,"['月', '田', '水']"
決,"['人', '丨', '水']"
濇,"['土', '囗', '水', '人']"
淮,"['隹', '水']"
滘,"['网', '水', '口', '工']"
瀇,"['二', '凵', '八', '水', '广', '丨', '一', '艸']"
瀕,"['丿', '止', '水', '小', '頁']"
洇,"['囗', '大', '水']"
涅,"['日', '土', '水']"
湝,"['比', '白', '水']"
澨,"['竹', '人', '水', '工']"
渨,"['一', '田', '水', '乙']"
瀾,"['門', '八', '水', '丨', '木', '口']"
汈,['水']
浊,"['虫', '水']"
汲,"['丿', '水']"
淤,"['人', '丶', '水', '方']"
满,"['人', '水', '一', '艸', '冂']"
湲,"['又', '水', '爪', '干', '亅']"
滏,"['父', '金', '水']"
涙,"['户', '大', '水']"
淢,"['一', '戈', '水', '口']"
泮,"['二', '丨', '八', '水']"
灏,"['水', '页', '亠', '小', '日', '口']"
濊,"['止', '丿', '水', '厂', '戈', '小', '一']"
滩,"['隹', '又', '水']"
涖,"['人', '水', '立']"
沾,"['卜', '水', '口']"
添,"['一', '丨', '大', '水']"
濡,"['而', '水', '雨']"
沰,"['水', '石']"
瀛,"['女', '丶', '水', '匸', '月', '几', '口']"
瀞,"['水', '刀', '彐', '青', '亅']"
泉,"['白', '水']"
沺,"['田', '水']"
淄,"['川', '田', '水']"
浪,"['艮', '丶', '水']"
涝,"['冖', '艸', '水', '力']"
灋,"['土', '火', '水', '广', '厶', '襾']"
涓,"['月', '水', '口']"
湅,"['八', '水', '丨', '木', '口']"
漆,"['人', '木', '水']"
灥,"['白', '水']"
潾,"['舛', '水', '米']"
洽,"['一', '人', '水', '口']"
漩,"['丿', '水', '疋', '方', '一']"
澜,"['门', '八', '水', '丨', '木', '口']"
测,"['刀', '贝', '水']"
澠,"['黽', '水']"
沩,"['丶', '水', '力']"
済,"['文', '水', '二']"
漲,"['水', '弓', '長']"
激,"['攴', '白', '水', '方']"
泻,"['冖', '一', '水']"
湮,"['土', '水', '襾']"
潬,"['二', '水', '丨', '十', '口', '冂']"
泠,"['人', '丶', '水']"
滈,"['水', '高']"
济,"['齐', '水']"
渠,"['匚', '木', '水']"
汁,"['十', '水']"
澆,"['土', '一', '水', '儿']"
濾,"['虍', '水', '田', '心']"
渣,"['日', '一', '木', '水']"
灌,"['隹', '艸', '水', '口']"
澗,"['日', '水', '門']"
涯,"['土', '水', '厂']"
漿,"['月', '水', '爿', '寸']"
浉,"['一', '水', '巾']"
濁,"['勹', '网', '虫', '水']"
淌,"['小', '口', '水', '冂']"
浄,"['刀', '水', '亅', '彐']"
淸,"['青', '水']"
滺,"['心', '人', '水', '丨', '攴']"
漪,"['亅', '水', '大', '犬', '一', '口']"
灣,"['糸', '水', '弓', '言']"
瀑,"['八', '水', '日', '一', '艸']"
浏,"['文', '刀', '水']"
洭,"['匚', '玉', '水']"
澐,"['二', '水', '厶', '雨']"
汶,"['文', '水']"
温,"['日', '皿', '水']"
漈,"['月', '水', '示', '卩']"
沲,"['丿', '水', '丨', '一', '乙']"
漙,"['水', '丨', '寸', '十', '日']"
演,"['二', '凵', '八', '水', '丨', '宀', '一']"
涤,"['小', '十', '水', '夂']"
渢,"['水', '風']"
派,"['匚', '水', '⺁']"
汴,"['亠', '水', '卜']"
溫,"['囗', '水', '皿', '人']"
汧,"['一', '廾', '水']"
淴,"['勹', '水', '心']"
涇,"['一', '川', '水', '工']"
涑,"['木', '水', '口']"
泜,"['丶', '氏', '水']"
沫,"['一', '木', '水']"
瀲,"['一', '人', '水', '攴']"
滉,"['水', '小', '儿', '日', '一']"
浐,"['水', '立', '厂']"
溟,"['八', '水', '冖', '亠', '日']"
浦,"['十', '丶', '水', '用']"
潈,"['勹', '网', '水']"
滞,"['水', '巾', '冖', '川', '一']"
求,"['一', '丿', '丶', '水']"
濯,"['羽', '水', '隹']"
泵,"['水', '石']"
沘,"['比', '水']"
沼,"['刀', '水', '口']"
漱,"['欠', '木', '水', '口']"
満,"['水', '山', '一', '艸', '冂']"
洑,"['人', '水', '犬']"
汾,"['刀', '八', '水']"
湫,"['禾', '火', '水']"
滦,"['八', '水', '丨', '木', '亠', '亅']"
溈,"['丿', '丶', '火', '水']"
汫,"['二', '水']"
溻,"['日', '羽', '水']"
湋,"['水', '韋']"
泼,"['又', '丶', '丨', '水']"
泯,"['一', '己', '水']"
濚,"['冖', '火', '木', '水']"
津,"['聿', '水']"
湟,"['玉', '白', '水']"
流,"['水', '厶', '丨', '亠', '儿']"
潔,"['二', '水', '刀', '丨', '糸', '一']"
濑,"['水', '刀', '贝', '木', '口']"
濮,"['人', '八', '水', '羊', '一']"
涸,"['囗', '水', '十', '口']"
漁,"['水', '魚']"
準,"['十', '隹', '水']"
濠,"['水', '豕', '冖', '亠', '口']"
滤,"['虍', '水', '心']"
濉,"['目', '隹', '水']"
溏,"['广', '聿', '水', '口']"
汛,"['十', '水', '乙']"
溲,"['臼', '丨', '水', '又']"
滯,"['水', '巾', '廾', '冖', '儿']"
海,"['一', '丿', '毋', '水']"
漍,"['水', '囗', '戈', '一', '口']"
洛,"['口', '水', '夂']"
沽,"['十', '水', '口']"
況,"['水', '口', '儿']"
澱,"['八', '水', '尸', '一', '艸', '殳']"
滂,"['八', '水', '冖', '亠', '方']"
泡,"['勹', '己', '水']"
瀣,"['歹', '又', '水', '韭']"
渎,"['丶', '水', '大', '十', '乙']"
凼,"['凵', '水']"
泾,"['水', '工']"
淟,"['二', '凵', '八', '水']"
泓,"['厶', '弓', '水']"
泺,"['水', '小']"
潘,"['田', '水', '釆']"
沤,"['丿', '匚', '水']"
洺,"['水', '口', '夕']"
澝,"['宀', '用', '水', '心']"
浩,"['牛', '水', '口']"
渚,"['日', '水', '老']"
汍,"['丿', '丶', '水']"
泭,"['人', '水', '寸']"
溺,"['弓', '水', '冫']"
泑,"['幺', '水', '力']"
汗,"['干', '水']"
活,"['水', '舌']"
洞,"['一', '口', '水', '冂']"
湞,"['貝', '卜', '水']"
浮,"['子', '水', '爪']"
滋,"['幺', '一', '八', '水']"
滸,"['干', '水', '言']"
溮,"['丶', '水', '巾', '一', '己']"
濰,"['隹', '糸', '水']"
汚,"['二', '水']"
淙,"['宀', '水', '示']"
沈,"['水', '乙', '巾']"
涵,"['凵', '水', '亅', '冫']"
涕,"['八', '丨', '弓', '水']"
池,"['丨', '水', '乙']"
澥,"['牛', '角', '刀', '水']"
渌,"['水', '彐']"
泸,"['卜', '尸', '水']"
洒,"['襾', '水']"
洋,"['羊', '水']"
淵,"['一', '水']"
浥,"['水', '邑']"
湎,"['水', '面']"
濤,"['水', '士', '乙', '寸', '工', '一', '口']"
灢,"['二', '水', '丨', '冖', '十', '一', '口']"
沅,"['二', '水', '儿']"
漦,"['水', '木', '厂', '一', '攴']"
濛,"['二', '水', '冖', '勹', '艸']"
浣,"['宀', '二', '水', '儿']"
溅,"['一', '戈', '贝', '水']"
涠,"['囗', '韦', '水']"
泚,"['止', '匕', '水']"
汭,"['人', '水', '冂']"
瀰,"['八', '水', '巾', '丨', '弓', '爻', '一']"
汋,"['勹', '丶', '水']"
渥,"['水', '尸', '至']"
湼,"['臼', '水', '工']"
沦,"['人', '匕', '水']"
渰,"['人', '水', '廾', '一', '口']"
漊,"['女', '十', '水', '口']"
濄,"['口', '水', '冂', '辵']"
潰,"['水', '丨', '貝', '一', '口']"
澒,"['頁', '水', '工']"
洊,"['丿', '子', '人', '水', '一']"
泅,"['囗', '水', '人']"
瀹,"['龠', '水']"
滾,"['亠', '八', '水', '口']"
渤,"['子', '水', '冖', '十', '力']"
渾,"['冖', '車', '水']"
畓,"['田', '水']"
滕,"['二', '八', '水', '丨', '月']"
澾,"['羊', '土', '水', '辵']"
泊,"['白', '水']"
深,"['网', '木', '水']"
潴,"['日', '水', '老', '犬']"
浼,"['水', '乙', '刀', '丨', '口']"
江,"['水', '工']"
灞,"['月', '水', '革', '雨']"
潍,"['隹', '水', '纟']"
洏,"['而', '水']"
澽,"['虍', '豕', '水']"
滆,"['水', '鬲']"
淑,"['又', '卜', '水', '小', '一']"
渟,"['水', '冖', '亠', '口', '一', '亅']"
潞,"['口', '水', '夂', '⻊']"
灠,"['丿', '丶', '水', '見', '臣', '一', '网']"
泫,"['玄', '水']"
灉,"['隹', '水', '邑', '川']"
滓,"['宀', '水', '辛']"
溃,"['水', '丨', '贝', '一', '口']"
瀆,"['貝', '网', '水', '士']"
灧,"['色', '山', '水', '豆']"
涨,"['长', '弓', '水']"
溠,"['羊', '水', '工']"
滠,"['又', '水', '耳']"
渍,"['一', '土', '贝', '水']"
消,"['月', '水', '小']"
沱,"['宀', '匕', '水']"
浡,"['冖', '十', '水', '子']"
澀,"['止', '刀', '水', '丶']"
涩,"['止', '刀', '水', '丶']"
沉,"['冖', '几', '水']"
湏,"['頁', '水']"
氼,"['人', '水']"
瀝,"['禾', '止', '水', '厂']"
洧,"['月', '丿', '水', '一']"
灤,"['水', '糸', '木', '言']"
泐,"['水', '阝', '力']"
源,"['水', '白', '厂', '小']"
漸,"['車', '斤', '水']"
湛,"['匚', '甘', '水', '儿']"
淫,"['水', '爪', '士']"
渕,"['八', '水', '刀', '大', '一']"
瀸,"['人', '戈', '水', '韭']"
溜,"['田', '水', '卩']"
汕,"['山', '水']"
潇,"['艸', '聿', '水', '小']"
湻,"['日', '亠', '水', '口']"
滹,"['丿', '八', '水', '虍', '一']"
漕,"['二', '凵', '水', '日', '艸']"
潀,"['人', '网', '水']"
澡,"['木', '水', '口']"
澷,"['日', '网', '水', '方']"
沂,"['斤', '水']"
沐,"['木', '水']"
泰,"['二', '八', '水', '丨', '一']"
浍,"['人', '水', '厶', '二']"
漉,"['鹿', '水']"
濧,"['八', '水', '羊', '寸', '一']"
滽,"['广', '聿', '水', '用']"
灩,"['土', '水', '厶', '豆', '皿', '山']"
沏,"['一', '刀', '水', '乙']"
渮,"['亅', '水', '一', '艸', '口']"
滝,"['水', '丨', '日', '立', '乙']"
涷,"['日', '木', '水']"
淊,"['臼', '刀', '水']"
灎,"['土', '二', '凵', '水', '厶', '豆', '皿']"
潯,"['水', '寸', '彐', '工', '口']"
漭,"['艸', '水', '犬']"
湍,"['而', '山', '水']"
沧,"['人', '水', '乙']"
浸,"['冖', '又', '水', '彐']"
灒,"['貝', '水', '牛', '儿']"
瀋,"['宀', '田', '水', '釆']"
澈,"['水', '厶', '亠', '月', '攴']"
溢,"['一', '八', '水', '皿']"
渔,"['鱼', '水']"
浒,"['干', '讠', '水']"
洮,"['冫', '水', '儿']"
淯,"['月', '厶', '亠', '水']"
瀘,"['虍', '田', '水', '皿']"
湌,"['食', '水']"
渼,"['羊', '大', '水']"
潅,"['丿', '水', '隹', '十', '一']"
浕,"['丶', '尸', '水']"
洌,"['刀', '水', '歹']"
汊,"['丶', '又', '水']"
沨,"['风', '水']"
滨,"['斤', '八', '水', '宀', '一']"
潣,"['文', '水', '門']"
濆,"['十', '艸', '水', '貝']"
潷,"['竹', '聿', '水']"
灔,"['二', '凵', '水', '色', '豆']"
浴,"['水', '谷']"
澁,"['止', '水']"
沷,"['丿', '丶', '又', '水', '一']"
潁,"['頁', '匕', '水']"
涣,"['刀', '大', '水', '冂']"
洗,"['牛', '水', '儿']"
沔,"['一', '丨', '水']"
淳,"['子', '亠', '水', '口']"
潙,"['丿', '火', '水', '爪']"
淺,"['戈', '水']"
潲,"['禾', '月', '水', '小']"
湉,"['心', '水', '舌']"
澳,"['宀', '水', '大', '米']"
濼,"['幺', '水', '白', '木']"
濜,"['火', '聿', '皿', '水']"
濘,"['心', '水', '皿', '宀', '一', '亅']"
洱,"['水', '耳']"
汇,"['匚', '水']"
潨,"['丿', '丶', '网', '水']"
泆,"['人', '水', '二']"
滀,"['玄', '田', '水']"
洪,"['一', '艸', '八', '水']"
潦,"['八', '水', '大', '小', '日']"
洎,"['自', '水']"
涢,"['贝', '水', '口']"
湜,"['日', '一', '水', '止']"
灃,"['山', '水', '豆']"
漳,"['日', '十', '水', '立']"
減,"['水', '厂', '戈', '一', '口']"
沛,"['十', '水', '巾']"
湓,"['刀', '八', '水', '皿']"
渊,"['人', '糸', '木', '水']"
澔,"['牛', '白', '水', '口']"
泞,"['宀', '一', '水', '亅']"
湿,"['日', '一', '八', '水']"
沙,"['丿', '水', '小']"
瀅,"['冖', '火', '玉', '水']"
溦,"['水', '山', '一', '几', '攴']"
溎,"['土', '木', '水']"
滍,"['一', '水', '虫', '屮']"
渡,"['广', '又', '廾', '水']"
浹,"['人', '大', '水']"
没,"['水', '殳']"
涂,"['干', '人', '水', '小']"
鿌,[]
洤,"['人', '玉', '水']"
澹,"['八', '水', '刀', '厂', '言']"
泄,"['廾', '水']"
沁,"['心', '水']"
泷,"['水', '龙']"
泥,"['尸', '匕', '水']"
汝,"['女', '水']"
滲,"['厶', '人', '水', '彡']"
澄,"['癶', '水', '豆']"
渫,"['廾', '木', '水']"
澤,"['土', '八', '水', '干', '网']"
汨,"['日', '水']"
滁,"['人', '水', '干', '阝', '小']"
渖,"['宀', '丨', '水', '日']"
澧,"['二', '凵', '豆', '水']"
汆,"['入', '水']"
沸,"['弓', '水']"
涪,"['水', '立', '口']"
滫,"['人', '水', '夂', '丨', '月']"
涧,"['门', '水', '日']"
洄,"['囗', '水']"
淦,"['金', '水']"
沍,"['一', '水', '彐']"
瀔,"['水', '士', '冖', '禾', '一', '殳']"
湾,"['八', '水', '丨', '弓', '亠', '亅']"
法,"['土', '水', '厶']"
渙,"['八', '水', '刀', '大', '冂']"
渝,"['人', '水', '刀', '月', '一']"
溌,"['癶', '水', '廾', '一', '乙']"
溯,"['八', '水', '屮', '月', '一']"
涉,"['丿', '止', '水', '小']"
漾,"['羊', '丶', '水']"
濿,"['二', '禸', '水', '丨', '厂', '艸', '冂']"
浠,"['一', '丿', '水', '巾']"
濳,"['日', '水', '牛', '儿']"
灝,"['水', '頁', '亠', '小', '日', '口']"
濒,"['丿', '止', '水', '页', '小']"
溵,"['丶', '水', '丨', '彐', '殳']"
沇,"['厶', '水', '儿']"
涮,"['刀', '尸', '水', '巾']"
淘,"['勹', '水', '缶']"
滙,"['匚', '隹', '水']"
澦,"['頁', '水', '亅', '乙']"
油,"['二', '丨', '水', '凵']"
渲,"['宀', '一', '水', '日']"
潆,"['冖', '艸', '糸', '水']"
潝,"['人', '水', '羽', '一', '口']"
淖,"['日', '十', '卜', '水']"
沿,"['几', '水', '口']"
混,"['日', '水', '比']"
潑,"['殳', '癶', '水', '弓']"
溍,"['日', '一', '八', '水']"
波,"['皮', '水']"
汩,"['曰', '水']"
潛,"['日', '无', '水', '丿']"
涘,"['厶', '水', '矢']"
汔,"['一', '丿', '水', '乙']"
漎,"['人', '彳', '水', '止']"
漼,"['隹', '山', '水']"
漥,"['土', '穴', '水']"
涜,"['冖', '儿', '水', '士']"
沣,"['一', '丨', '水', '二']"
汐,"['水', '夕']"
濕,"['日', '幺', '火', '水']"
洁,"['水', '口', '士']"
瀟,"['一', '艸', '聿', '水']"
灕,"['凵', '禸', '丿', '水', '隹', '亠']"
浓,"['水', '巾']"
滟,"['二', '水', '色', '丨', '一']"
湨,"['目', '水', '犬']"
滎,"['冖', '火', '水']"
洵,"['勹', '水', '日']"
汎,"['几', '水', '丶']"
河,"['一', '口', '水', '亅']"
淠,"['一', '田', '水']"
滅,"['火', '水', '厂', '戈', '一']"
漠,"['日', '艸', '大', '水']"
涴,"['宀', '水', '乙', '夕']"
灨,"['水', '夂', '十', '貝', '工', '日', '立']"
浜,"['斤', '一', '八', '水']"
潏,"['八', '水', '冂', '矛', '口']"
渑,"['黾', '水']"
溧,"['襾', '木', '水']"
渹,"['勹', '水', '言']"
滻,"['生', '水', '立', '厂']"
淜,"['月', '水']"
湱,"['二', '水', '丨', '一', '石']"
泲,"['丨', '水']"
漰,"['月', '山', '水']"
淼,['水']
淝,"['月', '丨', '水', '乙']"
液,"['人', '丶', '水', '夂', '亠']"
渐,"['斤', '车', '水']"
瀒,"['人', '水', '木', '囗', '一']"
洿,"['二', '大', '水']"
漶,"['心', '水', '口', '丨']"
濔,"['八', '水', '巾', '丨', '爻', '一']"
漤,"['女', '木', '水']"
湯,"['日', '一', '勹', '水']"
涬,"['干', '土', '八', '水']"
澌,"['八', '水', '斤', '一', '甘']"
溘,"['土', '水', '皿', '厶']"
濫,"['丿', '丶', '水', '臣', '皿', '一']"
溥,"['丶', '水', '寸', '用', '十']"
涡,"['冂', '人', '水', '口']"
潢,"['二', '凵', '八', '水', '丨', '一', '艸']"
瀏,"['刀', '金', '水', '卩']"
濶,"['水', '門', '舌']"
溉,"['丶', '水', '无', '丨', '彐', '乙']"
澣,"['人', '水', '干', '十', '日']"
浆,"['爿', '水', '夕']"
沌,"['十', '水', '屮', '乙']"
潋,"['人', '水', '小', '一', '攴']"
嘲,"['日', '十', '月', '口']"
吃,"['一', '丿', '口', '乙']"
呭,"['廾', '口']"
嗃,"['高', '口']"
咲,"['一', '大', '八', '口']"
啧,"['一', '土', '贝', '口']"
噦,"['止', '丿', '厂', '戈', '小', '一', '口']"
哝,"['口', '巾']"
員,"['貝', '口']"
吚,"['丨', '彐', '口']"
噂,"['寸', '八', '酉', '口']"
嚮,"['丿', '丶', '乙', '丨', '彐', '阝', '宀', '口']"
嘵,"['土', '一', '口', '儿']"
喇,"['刀', '木', '口']"
呆,"['木', '口']"
嘠,"['丿', '冖', '戈', '月', '一', '口']"
名,"['口', '夕']"
呛,"['人', '口', '乙']"
嗣,"['冂', '一', '艸', '口']"
唫,"['金', '口']"
叧,"['刀', '口']"
啣,"['干', '卩', '口', '止']"
嘬,"['又', '耳', '曰', '口']"
后,"['一', '口', '⺁']"
咆,"['勹', '己', '口']"
嗷,"['丿', '土', '口', '一', '攴']"
咺,"['日', '一', '口']"
哉,"['土', '戈', '口']"
呸,"['丿', '一', '卜', '口']"
哰,"['宀', '牛', '口']"
叫,"['丨', '口']"
喑,"['音', '口']"
吟,"['人', '丶', '口']"
和,"['禾', '口']"
嗑,"['土', '皿', '厶', '口']"
嚓,"['月', '示', '卩', '宀', '口']"
喏,"['一', '丿', '艸', '口']"
啮,"['齿', '口']"
吊,"['口', '巾']"
啔,"['户', '戈', '口']"
唷,"['月', '厶', '亠', '口']"
咳,"['人', '亠', '丨', '口']"
呜,"['一', '丶', '口']"
唯,"['隹', '口']"
喚,"['八', '刀', '大', '口', '冂']"
呠,"['一', '木', '口']"
啖,"['火', '口']"
囃,"['人', '隹', '木', '亠', '口']"
唠,"['冖', '力', '艸', '口']"
哮,"['子', '老', '口']"
咱,"['自', '口']"
咝,"['一', '口']"
吕,['口']
君,"['丨', '彐', '口']"
啐,"['十', '亠', '人', '口']"
吳,"['大', '口']"
呈,"['玉', '口']"
噁,"['心', '二', '口']"
嘩,"['二', '丨', '一', '艸', '口']"
吿,"['牛', '口']"
启,"['户', '口']"
嘘,"['虍', '一', '八', '口']"
嘿,"['黑', '口']"
嚶,"['女', '貝', '口']"
嗽,"['欠', '木', '口']"
叴,"['丿', '口']"
咾,"['老', '口']"
咈,"['弓', '口']"
啈,"['干', '土', '八', '口']"
嗌,"['一', '皿', '八', '口']"
嘸,"['火', '口']"
唡,"['冂', '一', '人', '口']"
哞,"['牛', '厶', '口']"
喃,"['八', '干', '十', '口', '冂']"
唢,"['小', '贝', '口']"
呎,"['尸', '口']"
哏,"['艮', '口']"
喫,"['二', '刀', '丨', '大', '一', '口']"
噹,"['冖', '小', '田', '口']"
咨,"['欠', '口', '冫']"
噕,"['丿', '火', '口', '爪']"
嚬,"['止', '丿', '小', '頁', '口']"
噣,"['勹', '网', '虫', '口']"
嗢,"['日', '皿', '口']"
只,"['八', '口']"
叺,"['入', '口']"
喨,"['冖', '亠', '几', '口']"
咬,"['丿', '亠', '八', '口']"
嚴,"['口', '攴', '厂', '耳']"
囒,"['八', '丨', '木', '口', '艸', '門']"
哄,"['一', '八', '艸', '口']"
响,"['宀', '口']"
哲,"['斤', '手', '口']"
哕,"['山', '口', '夕']"
嘜,"['麥', '口']"
唗,"['口', '走']"
唟,"['土', '乙', '厶', '一', '口']"
咤,"['宀', '一', '口', '乙']"
呇,"['水', '口']"
嗒,"['一', '人', '艸', '口']"
哴,"['艮', '丶', '口']"
售,"['隹', '口']"
喪,"['土', '口', '乙']"
囓,"['二', '齒', '刀', '丨', '一', '口']"
嚨,"['龍', '口']"
哩,"['里', '口']"
嚕,"['日', '魚', '口']"
嚱,"['虍', '戈', '豆', '口']"
咵,"['二', '大', '口']"
嘻,"['一', '八', '口', '士']"
